id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4813.876,RIBU ORANG,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2358.418,RIBU ORANG,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2186.794,RIBU ORANG,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3205.121,RIBU ORANG,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2422.326,RIBU ORANG,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1687.776,RIBU ORANG,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1135.724,RIBU ORANG,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1023.907,RIBU ORANG,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,2044.181,RIBU ORANG,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1153.226,RIBU ORANG,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1101.578,RIBU ORANG,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1645.024,RIBU ORANG,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1449.207,RIBU ORANG,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,859.186,RIBU ORANG,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2144.185,RIBU ORANG,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,2656.884,RIBU ORANG,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1522.076,RIBU ORANG,2010
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,379.518,RIBU ORANG,2010
19,32,JAWA BARAT,3271,KOTA BOGOR,958.077,RIBU ORANG,2010
20,32,JAWA BARAT,3272,KOTA SUKABUMI,301.014,RIBU ORANG,2010
21,32,JAWA BARAT,3273,KOTA BANDUNG,2412.093,RIBU ORANG,2010
22,32,JAWA BARAT,3274,KOTA CIREBON,293.206,RIBU ORANG,2010
23,32,JAWA BARAT,3275,KOTA BEKASI,2356.1,RIBU ORANG,2010
24,32,JAWA BARAT,3276,KOTA DEPOK,1755.612,RIBU ORANG,2010
25,32,JAWA BARAT,3277,KOTA CIMAHI,545.505,RIBU ORANG,2010
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,639.987,RIBU ORANG,2010
27,32,JAWA BARAT,3279,KOTA BANJAR,176.506,RIBU ORANG,2010
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4943.746,RIBU ORANG,2011
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2376.495,RIBU ORANG,2011
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2201.003,RIBU ORANG,2011
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3272.828,RIBU ORANG,2011
32,32,JAWA BARAT,3205,KABUPATEN GARUT,2450.43,RIBU ORANG,2011
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1699.583,RIBU ORANG,2011
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1142.23,RIBU ORANG,2011
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1030.205,RIBU ORANG,2011
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2060.4,RIBU ORANG,2011
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1158.882,RIBU ORANG,2011
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1110.083,RIBU ORANG,2011
